"timestamp","brentoilprice","fuelprice","date_column"
"1558990800000","60.3","6.49","2019-05-28"
"1559077200000","60.49","6.49","2019-05-29"
"1559163600000","59.32","6.49","2019-05-30"
"1559250000000","58.19","6.49","2019-05-31"
"1559509200000","58.51","6.49","2019-06-03"
"1559595600000","58.33","6.49","2019-06-04"
"1559682000000","57.04","6.48","2019-06-05"
"1559768400000","57.87","6.48","2019-06-06"
"1559854800000","58.87","6.48","2019-06-07"
"1560114000000","59.29","6.27","2019-06-10"
"1560200400000","59.74","6.27","2019-06-11"
"1560286800000","58.47","6.27","2019-06-12"
"1560373200000","59.1","6.27","2019-06-13"
"1560459600000","59.18","6.29","2019-06-14"
"1560718800000","58.91","6.29","2019-06-17"
"1560805200000","59.66","6.29","2019-06-18"
"1560891600000","59.3","6.29","2019-06-19"
"1560978000000","60.3","6.29","2019-06-20"
"1561064400000","60.27","6.29","2019-06-21"
"1561323600000","60.47","6.29","2019-06-24"
"1561410000000","60.75","6.29","2019-06-25"
"1561496400000","60.93","6.51","2019-06-26"
"1561582800000","60.77","6.51","2019-06-27"
"1561669200000","60.25","6.51","2019-06-28"
"1561928400000","60.31","6.51","2019-07-01"
"1562014800000","59.21","6.51","2019-07-02"
"1562101200000","60.06","6.51","2019-07-03"
"1562187600000","59.76","6.51","2019-07-04"
"1562274000000","59.65","6.51","2019-07-05"
"1562533200000","60.03","6.51","2019-07-08"
"1562619600000","60.65","6.51","2019-07-09"
"1562706000000","61.34","6.35","2019-07-10"
"1562792400000","60.65","6.35","2019-07-11"
"1562878800000","60.13","6.35","2019-07-12"
"1563138000000","59.8","6.35","2019-07-15"
"1563224400000","58.81","6.35","2019-07-16"
"1563310800000","58.87","6.35","2019-07-17"
"1563397200000","57.85","6.51","2019-07-18"
"1563483600000","58.96","6.57","2019-07-19"
"1563742800000","59.03","6.57","2019-07-22"
"1563829200000","58.9","6.57","2019-07-23"
"1563915600000","58.4","6.43","2019-07-24"
"1564002000000","58.58","6.43","2019-07-25"
"1564088400000","58.97","6.43","2019-07-26"
"1564347600000","58.23","6.43","2019-07-29"
"1564434000000","58.54","6.43","2019-07-30"
"1564520400000","58.66","6.43","2019-07-31"
"1564606800000","56.76","6.43","2019-08-01"
"1564693200000","58.28","6.43","2019-08-02"
"1564952400000","58.14","6.43","2019-08-05"
"1565038800000","57.86","6.43","2019-08-06"
"1565125200000","57.39","6.43","2019-08-07"
"1565211600000","57.51","6.43","2019-08-08"
"1565298000000","58.07","6.43","2019-08-09"
"1565557200000","58.01","6.09","2019-08-12"
"1565643600000","59.57","6.09","2019-08-13"
"1565730000000","58.07","6.09","2019-08-14"
"1565816400000","57.32","6.09","2019-08-15"
"1565902800000","57.25","6.09","2019-08-16"
"1566162000000","57.3","6.09","2019-08-19"
"1566248400000","57.09","6.09","2019-08-20"
"1566334800000","57.25","6.27","2019-08-21"
"1566421200000","57.07","6.27","2019-08-22"
"1566507600000","56.9","6.27","2019-08-23"
"1566766800000","56.89","6.27","2019-08-26"
"1566853200000","57.4","6.27","2019-08-27"
"1566939600000","57.46","6.38","2019-08-28"
"1567026000000","57.41","6.38","2019-08-29"
"1567112400000","56.49","6.38","2019-08-30"
"1567371600000","56.74","6.38","2019-09-02"
"1567458000000","56.74","6.38","2019-09-03"
"1567544400000","57.55","6.38","2019-09-04"
"1567630800000","57.69","6.38","2019-09-05"
"1567717200000","57.71","6.38","2019-09-06"
"1567976400000","57.91","6.38","2019-09-09"
"1568062800000","58.14","6.38","2019-09-10"
"1568149200000","57.49","6.38","2019-09-11"
"1568235600000","57.23","6.38","2019-09-12"
"1568322000000","56.66","6.38","2019-09-13"
"1568581200000","57.92","6.38","2019-09-16"
"1568667600000","57.72","6.38","2019-09-17"
"1568754000000","57.13","6.45","2019-09-18"
"1568840400000","56.97","6.57","2019-09-19"
"1568926800000","57.3","6.57","2019-09-20"
"1569186000000","58.03","6.57","2019-09-23"
"1569272400000","57.46","6.57","2019-09-24"
"1569358800000","57.33","6.57","2019-09-25"
"1569445200000","57.46","6.57","2019-09-26"
"1569531600000","57.18","6.57","2019-09-27"
"1569790800000","56.63","6.57","2019-09-30"
"1569877200000","56.82","6.57","2019-10-01"
"1569963600000","56.85","6.57","2019-10-02"
"1570050000000","56.33","6.57","2019-10-03"
"1570136400000","57.06","6.49","2019-10-04"
"1570395600000","56.82","6.49","2019-10-07"
"1570482000000","56.87","6.49","2019-10-08"
"1570568400000","56.81","6.49","2019-10-09"
