BrentOilPrice,FuelPrice,USD/TRY
43.66,4.87,6.99
43.83,4.87,6.99
43.72,4.87,6.95
44.88,4.87,6.99
43.95,4.87,7.01
43.33,4.87,7.05
43.33,4.87,7.05
43.33,4.87,7.05
44.04,5.07,7.07
43.53,5.07,7.19
43.93,5.34,7.12
45.67,5.27,7.09
44.55,5.4,7.07
44.55,5.4,7.07
44.55,5.4,7.07
44.42,5.4,7
44.64,5.4,6.97
44.93,5.4,6.92
44.97,5.28,6.9
46.38,5.39,6.88
46.38,5.39,6.88
46.38,5.39,6.88
45.95,5.47,6.78
46.62,5.47,6.79
46.4,5.59,6.79
46.19,5.59,6.81
46.69,5.59,6.81
46.69,5.59,6.81
46.69,5.59,6.81
47.51,5.59,6.73
47.26,5.59,6.77
47.9,5.59,6.81
48.1,5.59,6.82
48.26,5.59,6.81
48.26,5.59,6.81
48.26,5.59,6.81
48.58,5.59,6.71
48.69,5.59,6.74
49.24,5.39,6.75
49.69,5.39,6.77
48.48,5.39,6.79
48.48,5.39,6.79
48.48,5.39,6.79
49.12,5.71,6.8
49.13,5.71,6.78
47.1,5.71,6.84
46.86,5.71,6.81
47.84,5.71,6.81
47.84,5.71,6.81
47.84,5.71,6.81
48.27,5.71,6.84
47.48,5.71,6.85
47.27,5.71,6.86
47.39,5.71,6.85
48.02,5.71,6.85
48.02,5.71,6.85
48.02,5.71,6.85
47.78,6,6.85
46.82,6,6.86
47.12,6,6.86
47.16,6,6.86
48.15,6,6.85
48.15,6,6.85
48.15,6,6.85
47.38,5.83,6.85
47.87,5.83,6.85
48.43,5.93,6.85
48.39,5.93,6.86
48.68,5.93,6.86
48.68,5.93,6.86
48.68,5.93,6.86
48.87,6.03,6.86
49.47,6.03,6.86
49.32,6.03,6.86
49.64,6.03,6.87
49.32,6.03,6.86
49.32,6.03,6.86
49.32,6.03,6.86
49.62,6.03,6.87
49.75,6.03,6.86
49.47,6.03,6.86
49.51,6.03,6.86
49.62,6.03,6.86
49.62,6.03,6.86
49.62,6.03,6.86
49.82,6.03,6.82
49.89,6.03,6.85
49.48,6.03,6.84
50.13,6.03,6.85
50.55,6.03,6.87
50.55,6.03,6.87
50.55,6.03,6.87
50.35,6.03,6.94
50.54,6.03,6.98
49.74,6.03,6.99
50.03,6.03,6.97
