BrentOilPrice,FuelPrice,USD/TRY
45.94,5.39,6.9123
46,5.39,6.9387
45.93,5.17,6.9294
46.08,5.28,6.9403
43.22,5.28,6.9809
44.46,5.28,6.9821
43.89,4.87,6.9462
43.69,4.87,6.9727
43.49,4.87,6.9861
43.66,4.87,6.9868
43.55,4.87,6.952
44.72,4.87,6.9867
43.78,4.87,7.0122
43.16,4.87,7.0453
43.89,5.07,7.0739
43.36,5.07,7.1914
43.73,5.34,7.1167
45.47,5.27,7.0875
44.34,5.4,7.073
44.19,5.4,6.9971
44.42,5.4,6.9743
44.73,5.4,6.9218
44.78,5.28,6.9013
46.21,5.39,6.8843
45.78,5.47,6.7773
46.45,5.47,6.7907
46.23,5.59,6.7947
46.01,5.59,6.8138
46.51,5.59,6.812
47.32,5.59,6.7293
47.06,5.59,6.7744
47.7,5.59,6.8137
47.93,5.59,6.824
48.09,5.59,6.8117
48.42,5.59,6.7144
48.55,5.59,6.7404
49.11,5.39,6.7534
49.6,5.39,6.77
48.37,5.39,6.7876
49,5.71,6.797
49,5.71,6.7765
46.97,5.71,6.8416
46.74,5.71,6.814
47.72,5.71,6.8143
48.16,5.71,6.8415
47.37,5.71,6.8455
47.17,5.71,6.8569
47.29,5.71,6.8525
47.93,5.71,6.8477
47.69,6,6.8507
46.72,6,6.8559
47.02,6,6.8552
47.05,6,6.86
48.04,6,6.8549
47.28,5.83,6.8529
47.77,5.83,6.8483
48.33,5.93,6.8519
48.3,5.93,6.8623
48.59,5.93,6.8614
48.77,6.03,6.8588
49.36,6.03,6.8589
49.2,6.03,6.8618
49.54,6.03,6.8659
49.22,6.03,6.8603
49.52,6.03,6.8652
49.65,6.03,6.8565
49.37,6.03,6.8582
49.4,6.03,6.8638
49.53,6.03,6.8582
49.74,6.03,6.8236
49.81,6.03,6.8511
49.39,6.03,6.8441
50.03,6.03,6.8464
50.45,6.03,6.87
50.25,6.03,6.9352
50.45,6.03,6.9784
49.65,6.03,6.9939
49.94,6.03,6.9725
50.88,6.03,6.9512
50.9,6.03,6.8974
51.06,6.03,7.0477
51.03,6.03,7.2534
50.37,6.03,7.2796
50.65,6.19,7.2835
50.43,6.19,7.2246
50.97,6.19,7.3326
50.77,6.19,7.3384
50.65,6.19,7.3702
51.31,6.19,7.3821
51.13,6.19,7.3739
51.32,6.19,7.2876
51.14,6.19,7.2981
50.75,6.19,7.3163
51.34,6.19,7.3764
51.64,6.19,7.3901
51.59,6.19,7.368
51.08,6.19,7.3576
51.69,6.19,7.3302
50.95,6.19,7.3443
51.32,6.19,7.3688
50.73,6.19,7.3872
50.97,6.19,7.4324
50.44,6.19,7.4383
50,6.19,7.4501
48.6,5.98,7.4849
49.21,5.98,7.4879
48.92,5.8,7.4494
48.73,5.8,7.4761
49.04,5.8,7.4885
49.62,5.8,7.4919
49.94,5.8,7.5024
50.18,5.8,7.5509
49.98,5.8,7.5625
48.86,6.1,7.6272
48.94,6.1,7.6648
48.88,6.1,7.7008
49.13,5.98,7.6228
48.83,5.98,7.6639
48.82,5.98,7.8062
47.8,5.98,7.8066
48.46,5.98,7.7157
47.85,5.98,7.7433
46.73,5.98,7.7748
48.08,5.98,7.7615
48.7,5.98,7.799
48.08,5.98,7.8851
48.54,6.22,7.9449
47.98,6.22,7.8745
47.38,6.22,7.8957
47.67,6.22,7.9182
48.06,6.22,7.9105
48.17,6.22,7.9354
48.02,6.22,7.9223
